Protocol,Contract Address,Contract Name
oku.trade,0x6Aa54a43d7eEF5b239a18eed3Af4877f46522BCA,v3 Migrator
oku.trade,0xaa52bB8110fE38D0d2d2AF0B85C3A3eE622CA455,v3 Staker
oku.trade,0x807F4E281B7A3B324825C64ca53c69F0b418dE40,Quoter V2
oku.trade,0xdD489C75be1039ec7d843A6aC2Fd658350B067Cf,Swap Router02
oku.trade,0xA9d71E1dd7ca26F26e656E66d6AA81ed7f745bf0,Limit order registry
JellyVerse,0xfb43069f6d0473b85686a85f4ce4fc1fd8f00875,Vault
Takara Lend,0x56A171Acb1bBa46D4fdF21AfBE89377574B8D9BD,Comptroller
Takara Lend,0x71034bf5eC0FAd7aEE81a213403c8892F3d8CAeE,Unitroller
Takara Lend,0x323917A279B209754B32Ab57a817c64ECfE2AF40,MarketState
Takara Lend,0x68A92Be349d48766128C0Ae893Fc391859F9BC11,MultiRewardDistributor
Takara Lend,0x8DF1265bFb778fFD08341c63e7C67367c0a60288,ProxyAdmin
Pit,0x5512D5E89a29447462Ab6BBBcbD3fe6F0A0D9FDd,vaultOriginalAddress
Pit,0x6944BfDAcD00957715eCBCeAac3F49e07cB6f35F,vaultFactoryAddress
Pit,0x7c96Bf5203fA1584A81f160B9445EAB02bfa3E7B,tokenizedStrategyAddress
Pit,0xE560fC83EA78028a95CCAb1ECD45039fFB62301C,registryAddress
Pit,0x43e60c59567996C5a1b27ca8719ADF6CA2bC407B,releaseRegistryAddress
Pit,0x79756b033390232a5A55B5D6571a7Bc1b11A2b93,accountantAddress
Pit,0x07428D1CdC20Ce70Ac5D06E44CCB9920F99ab447,accountantFactoryAddress
Pit,0x9CDdFFc79Ba597CCBBd6da6a81Cc1b1ef29FB4de,keeperAddress
Pit,0xed6A3CD7591Df25bC92E42381d9c53E041B5ACAa,baseAprOracleAddress
Pit,0xdF7F9020800c2B444ad524982Fc6cA5A30915811,aaveStrategyAprOracleAddress
Pit,0x63E37028c1740303e8456962E6ddf98359FE0BDc,vault-PITv1-AAVEv3-WSEI-LENDER-POOL
Pit,0x0044f5f3F121beB7ef11c6cfBc45a56e80adFd6B,strategy-PITv1-AAVEv3-WSEI-LENDER-POOL
Pit,0x0f9BaCD61cf1fd9d038F41a8380dBd7A826470A7,rewards-escrow-PITv1-AAVEv3-WSEI-LENDER-POOL
Pit,0x1e3BcEb9AD3dc3f80820d29039C1A46e28d3A573,vault-PITv1-AAVEv3-USDT-LENDER-POOL
Pit,0x5E2BAF273586F747e406eB0fD0CAdAECe0f479Da,strategy-PITv1-AAVEv3-USDT-LENDER-POOL
Pit,0x3aEC64F4e285cFFD50605EB962455159d436d31B,rewards-escrow-PITv1-AAVEv3-USDT-LENDER-POOL
Pit,0x575E2291C6FDe8eEf7284CBd7Ff17615de75c47B,vault-PITv1-AAVEv3-USDC-LENDER-POOL
Pit,0x1eB5B573852897831414Fbd607c214EdB9b0B7Dd,strategy-PITv1-AAVEv3-USDC-LENDER-POOL
Pit,0x318253deCE357Ef0f75428C7369A180D60FD0971,rewards-escrow-PITv1-AAVEv3-USDC-LENDER-POOL
Pit,0x49561C4a905f7acCdaCAec5e3C17113d5f1C5a3b,vault-PITv1-AAVEv3-iSEI-LENDER-POOL
Pit,0xA4A3B54665A5ef21ac5B294b8945Dd130aC6E5fc,strategy-PITv1-AAVEv3-iSEI-LENDER-POOL
Pit,0x130c58f93cE57121c97F524CD5171BDd258f4314,rewards-escrow-PITv1-AAVEv3-iSEI-LENDER-POOL
Pit,0xE8d7f53173BB5D0C898e4D576E4E297cB2859472,vault-PITv1-AAVEv3-FRAX-LENDER-POOL
Pit,0xCd6d59a116F0d4E370A62b8D6EA146dD02E2114A,strategy-PITv1-AAVEv3-FRAX-LENDER-POOL
Pit,0x9975f0d8560ed6a29C376ddc950f5663527327e8,rewards-escrow-PITv1-AAVEv3-FRAX-LENDER-POOL
Pit,0x0AEfC6F2E9a866ddB4813Cb1E897a2E9e26a1E53,vault-PITv1-AAVEv3-WETH-LENDER-POOL
Pit,0xE77790035f956E9C6E895e57cded63A7AC69F2c9,strategy-PITv1-AAVEv3-WETH-LENDER-POOL
Pit,0xb4169a0cD663FB4A7762a71c9d0Dd0ddc18201e2,rewards-escrow-PITv1-AAVEv3-WETH-LENDER-POOL
Symbiosis,0x292fC50e4eB66C3f6514b9E402dBc25961824D62,Portal
Filament Finance,0xB28EAb5253f6a0f8a5B0a1120d9C03Db8Fc10C2f,DiamondProxy
DonkeSwap,0x4B4746216214f9e972c5D35D3Fe88e6Ec4C28A6B,DonkeV2Factory
Sailor Finance,0xd1EFe48B71Acd98Db16FcB9E7152B086647Ef544,SwapRouter
Sailor Finance,0x4ed1F9Cc4ee6bc11b27e285464C4DCaF911c85d9,NFTDescriptor
Sailor Finance,0xA51136931fdd3875902618bF6B3abe38Ab2D703b,UniswapV3Factory
Sailor Finance,0x9aeB489F5bc0d3Eb7892DD7E1FAE2d2ebD02E80b,Quoter
Sailor Finance,0xE40703878aC5d3F76eAc66f8688A8F5652Af85b1,QuoterV2
Citrex,0x993543DC8BdFCba9fc7355d822108eF49dB6b9F9,OrderDispatch
Citrex,0x7461cFe1A4766146cAFce60F6907Ea657550670d,Ciao
Symphony,0xAD3DF981018149CD90e5869d14Efe2516b108270,Symphony
Open Ocean,0x6352a56caadC4F1E25CD6c75970Fa768A3304e64,OpenOceanExchangeProxy
DZap,0xb3926deF2e0989B0700a57034C9A211bfBcF858B,DZapDiamond
OKX Dex,0x411d2C093e4c2e69Bf0D8E94be1bF13DaDD879c6,DexRouter
Morpho,0xc9cDAc20FCeAAF616f7EB0bb6Cd2c69dcfa9094c,Morpho
Morpho,0x6eFA8e3Aa8279eB2fd46b6083A9E52dA72EA56c4,Adaptive Curve Irm
Morpho,0x4bD68c2FF3274207EC07ED281C915758b6F23F07,Morpho ChainlinkOracleV2 Factory
Morpho,0x8Dea49ec5bd5AeAc8bcf96B3E187F59354118291,MetaMorpho Factory V1.1
Morpho,0xD878509446bE2C601f0f032F501851001B159D6B,Public Allocator
Morpho,0x65eD61058cEB4895B7d62437BaCEA39b04f6D27B,PreLiquidation Factory
Morpho,0xF9457356F18A3349Bb317Ac144c3Bcc62e5761aD,Bundler3
Morpho,0x02e0e71e145f254820B9D89c9E6068f08256F601,GeneralAdapter1
Safe,0x914d7Fec6aaC8cd542e72Bca78B30650d45643d7,SafeSingletonFactory
